name,subservice,type,is_list,unit,counter
idle_time,cpu,int,1,%,0,
system_time,cpu,int,1,%,0,
user_time,cpu,int,1,%,0,
guest_time,cpu,int,1,%,0,
cpu_count,cpu,float,0,,0,
type,sensors,str,1,,0,
input_temp,sensors,int,1,C°,0,
max_temp,sensors,int,1,C°,0,
critical_temp,sensors,int,1,C°,0,
input_fanspeed,sensors,int,1,RPM,0,
type,disks,str,1,,0,
total_user,disks,int,1,MB,0,
free_user,disks,int,1,MB,0,
read_time,disks,int,1,%,0,
write_time,disks,int,1,%,0,
io_time,disks,int,1,%,0,
discard_time,disks,int,1,%,0,
swap_used,disks,int,1,,0,
total,mem,int,0,MB,0,
free,mem,int,0,MB,0,
available,mem,int,0,MB,0,
buffers,mem,int,0,MB,0,
cache,mem,int,0,MB,0,
active,mem,int,0,MB,0,
inactive,mem,int,0,MB,0,
pages_total,mem,int,0,,0,
pages_free,mem,int,0,,0,
pages_reserved,mem,int,0,,0,
pages_size,mem,int,0,MB,0,
buffer_total,mem,int,0,,0,
buffer_free,mem,int,0,,0,
buffer_cache,mem,int,0,,0,
total_count,proc,int,0,,0,
run_count,proc,int,0,,0,
sleep_count,proc,int,0,,0,
idle_count,proc,int,0,,0,
wait_count,proc,int,0,,0,
zombie_count,proc,int,0,,0,
dead_count,proc,int,0,,0,
worker_count,proc,int,0,,0,
rx_packets,if,int,1,,1,
rx_bytes,if,int,1,MB,1,
rx_error,if,int,1,,1,
rx_drop,if,int,1,,1,
tx_packets,if,int,1,,1,
tx_bytes,if,int,1,MB,1,
tx_error,if,int,1,,1,
tx_drop,if,int,1,,1,
up_count,if,int,1,,1,
down_count,if,int,1,,1,
changes_count,if,int,1,,1,
state,if,str,1,,0,
wireless,if,int,1,,0,
mtu,if,int,1,B,0,
numa,if,str,1,,0,
cpulist,if,str,1,,0,
tx_queue,if,int,1,,0,
gw_in_arp,if,int,1,,0,
type,if,str,1,,0,
dns_server,if,str,1,,0,
dhcp_server,if,str,1,,0,
vector_rate,if,int,0,,0,
driver,if,str,1,,0,
bus_info,if,str,1,,0,
ufo,if,str,1,,0,
tx-checksum-ipv4,if,str,1,,0,
tx-checksum-ip-generic,if,str,1,,0,
tx-checksum-ipv6,if,str,1,,0,
tx-generic-segmentation,if,str,1,,0,
tx-lockless,if,str,1,,0,
rx-gro,if,str,1,,0,
rx-lro,if,str,1,,0,
tx-tcp-segmentation,if,str,1,,0,
tx-gso-robust,if,str,1,,0,
tx-tcp-ecn-segmentation,if,str,1,,0,
tx-tcp6-segmentation,if,str,1,,0,
tx-gre-segmentation,if,str,1,,0,
tx-gre-csum-segmentation,if,str,1,,0,
tx-udp-segmentation,if,str,1,,0,
rx-hashing,if,str,1,,0,
